Post Caption,Sentiment Polarity,Hashtags? (Y/N),Mentions? (Y/N),Hashtags List,Mentions List,Time of Day of Post,Day of Week,Date of Post,Video? (Y/N),Dimensions,Likes,Comments,Engagement Rate (%)
"Join us in 12 DAYS OF GIVING! 
Dec. 1-12 we will be collecting donations and in return you will receive a gift card for a FREE Shine Wash. Keep the gift card for yourself or give it as a Holiday gift. 
#DontDriveDirty #Holidays #Gift

https://www.dontdrivedirty.com/2017/11/28/12-days-giving/",0.4,Y,N,"DontDriveDirty, Holidays, Gift",,09:06:47,Wednesday,2017-11-29,N,550x687,16,0,1600.0
"We would suggest talk-to-text, but Quackals doesn't talk either – oops. Luckily, we had a team member type his message and send it off for him.
.
.
.
#dontdrivedirty
#quickquackcarwash
#carwash
#drivethrcarwash
#carwashes
#Unlimitedcarwash
#washcar
#texascarwash
#arizonacarwash
#coloradocarwash
#utahcarwash
#californiacarwash
#Quackals",0.3333333333333333,Y,N,"dontdrivedirty, quickquackcarwash, carwash, drivethrcarwash, carwashes, Unlimitedcarwash, washcar, texascarwash, arizonacarwash, coloradocarwash, utahcarwash, californiacarwash, Quackals",,16:03:41,Friday,2023-02-17,Y,576x1024,98,0,9800.0
"#TBT

Quackals pre-Quick Quack Car Wash

#dontdrivedirty",0.0,Y,N,"TBT, dontdrivedirty",,11:40:13,Thursday,2016-07-21,N,1080x1080,6,0,600.0
We want to celebrate you on your birthday! Sign up for a FREE Birthday Car Wash here... http://ow.ly/US8y302TucN,0.4,N,N,,,07:11:31,Friday,2016-08-19,N,320x401,4,0,400.0
Are you looking for a Halloween costume idea??? #DontDriveDirty,0.0,Y,N,DontDriveDirty,,08:44:22,Wednesday,2017-10-11,N,320x400,15,0,1500.0
"It's Tip Tuesday! Here are some tips on how you can save gas. 
#DontDriveDirty #TipTuesday",0.0,Y,N,"DontDriveDirty, TipTuesday",,09:28:03,Tuesday,2017-07-11,N,600x750,20,0,2000.0
"Happy Thanksgiving, from our Quick Quack family to yours! We are thankful for our customers and our team members.
All of our locations are closed today so our team members can spend time with their flock. We will reopen at 7am tomorrow with our Black Friday deals... stay tuned! #HappyThanksgiving #dontdrivedirty #quickquack",0.22708333333333336,Y,N,"HappyThanksgiving, dontdrivedirty, quickquack",,07:00:36,Thursday,2020-11-26,N,1080x1079,95,0,9500.0
"Teamwork truly makes the dream work! 💚🧡💛
•
•
•
#QuickQuackCarWash #DontDriveDirty #FastCleanLovedEverywhere #CarWash #Car #Quackals #Duck #Wash #Summer #Team #Loved",0.7,Y,N,"QuickQuackCarWash, DontDriveDirty, FastCleanLovedEverywhere, CarWash, Car, Quackals, Duck, Wash, Summer, Team, Loved",,07:06:32,Thursday,2019-06-13,N,1440x1089,54,0,5400.0
"It's #LuckyDuckWednesday! In honor of opening our 21st location in Roseville, California, a “Clean Wash” 30 Day Unlimited Wash Pass is only $21 (Reg. $24.99)",0.12222222222222223,Y,N,LuckyDuckWednesday!,,09:04:51,Wednesday,2016-04-13,N,959x959,4,0,400.0
"Puppy Saturday! This is Odie, he joined our Team for a bit as we opened our location in Riverdale, UT last month. Is he asking for treats, or just learning to guide a car through the wash? 📷: @logeyrose #DogsOfQQ",0.0,Y,Y,DogsOfQQ,logeyrose,07:50:08,Saturday,2020-05-16,Y,640x640,67,3,7000.0
"According to Punxsutawney Phil, the groundhog of all groundhogs, winter will be extended for 6 more weeks. Happy Groundhogs Day!

http://ow.ly/5Ok3308Cs1J",0.75,N,N,,,10:14:49,Thursday,2017-02-02,N,850x850,14,0,1400.0
"Dive into a soapy symphony!

Close your eyes and let the gentle swish of water, the rhythmic hum of wraps and the soothing splash of suds transport you to a relaxation haven.",0.2,N,N,,,07:58:53,Tuesday,2023-11-28,Y,1080x1920,3,2,500.0
Our South Natomas team getting together for a #pizzaparty!! #ouremployeesrock,0.0,Y,N,"pizzaparty!!, ouremployeesrock",,17:52:35,Monday,2015-08-03,N,900x900,5,0,500.0
"What your favorite location says about you!🌎

#QuickQuack #CarWashUtah #CarWashArizona #CarWashColorado #CarWashCalifornia #CarWashTexas",0.5,Y,N,"QuickQuack, CarWashUtah, CarWashArizona, CarWashColorado, CarWashCalifornia, CarWashTexas",,09:06:38,Friday,2024-08-16,N,612x612,72,3,7500.0
"Thursdays are for throwbacks. Today, we're going back to the Grand Opening of our second car wash in Elk Grove, CA. We teamed up with our community partners @kcca4childcancer to help a local family in need; Margarita is a single mother of two, she is unable to work while she focuses on her children's care. We were able to raise and match $4,000 to help the family. We're so grateful for the Elk Grove community's support of our special fundraiser. There's no better way for us to kick off our 12 days of free! Watch our video to see more of our Grand Opening event, and keep your eyes peeled for a new Quick Quack near you! #QQcares #dontdrivedirty",0.17536075036075036,Y,Y,"QQcares, dontdrivedirty",kcca4childcancer,08:01:34,Thursday,2021-04-08,Y,1920x1080,54,4,5800.0
"Quackals hanging out at the 17th Annual Blue Ribbon Rally in Lubbock, TX",0.0,N,N,,,19:36:17,Saturday,2016-04-30,N,1080x1080,7,0,700.0
"One week until Halloween, get your treat bags ready! What's your favorite Halloween treat? 🍬",0.375,N,N,,,07:02:13,Friday,2021-10-22,N,1080x1080,117,4,12100.0
Get a head start on completing your to-do list. #newyearcleancar,0.0,Y,N,newyearcleancar,,07:19:39,Monday,2022-01-24,Y,720x1280,36,2,3800.0
Happy International PEACE Day! We hope you're having a peaceful day. #DontDriveDirty,0.35000000000000003,Y,N,DontDriveDirty,,13:58:16,Wednesday,2016-09-21,N,665x831,6,1,700.0
"Did you enter our creative writing contest? Enter for a chance to win a $1,000 scholarship! Visit the link in bio for more details. Our contest closes on 9/16!
#dontdrivedirty #quickquack",0.7083333333333334,Y,N,"dontdrivedirty, quickquack",,08:00:26,Monday,2020-09-14,N,1080x1080,98,4,10200.0
"Want to win a YEAR OF FREE WASHES!? Get your creative juices pumping and enter our #QuickQuack #LipSyncBattle!  Get a free wash just for entering! Follow this link for more details on how to enter: http://woobox.com/xboe52 
Rules: One entry per person.  One free wash per entry.  Grand prize will be one year of free basic washes.  All videos must be CLEAN - remember we are a family company. =) Explicit content will be removed immediately.  The Lip Sync with the most votes will win so make sure you share with all your friends! Entries must be submitted by June 7th.  Voting will end on June 21st and the winner will be announced June 30th!  Good luck!",0.49322916666666666,Y,N,"QuickQuack, LipSyncBattle!",,09:15:37,Monday,2016-05-09,N,604x756,2,0,200.0
"It's #LuckyDuckWednesday! Spend $30+ on a Gift Card and get $5 OFF! 
Available at any Quick Quack location. Share with and help your friends out with their Holiday shopping.

http://ow.ly/e2Kx306SDG1",0.3666666666666667,Y,N,LuckyDuckWednesday!,,07:17:13,Wednesday,2016-12-07,N,960x960,5,0,500.0
"Good job Mikeala! Thank you for all your hard work. We couldn't do it without you! Thank you Carol & Russ for letting us know!

Have you had a good experience at one of our locations? Please let us know",0.37309027777777776,N,N,,,20:21:25,Monday,2016-06-20,N,750x750,7,1,800.0
"Online shopping? Here's 25% OFF Gift Cards or Wash Cards! 
http://ow.ly/iIcO306reax",0.0,N,N,,,12:49:21,Friday,2016-11-25,N,1080x720,4,0,400.0
"Courteous people tend to smile a lot! Vote for the Most Courteous Person you know. The winner will win 1 year of FREE CAR WASHES! #DontDriveDirty
http://ow.ly/rRT1304m6qb",0.5625,Y,N,DontDriveDirty,,20:07:54,Monday,2016-09-19,N,829x1000,7,0,700.0
"July 12-21st FREE CAR WASHES
at
68279 E. Palm Canyon Rd.
Cathedral City, CA 92234

If you or anyone you know is in the Cathedral City, CA area please pass this info on... http://ow.ly/RlLU3021Yyq",0.4,N,N,,,08:18:25,Monday,2016-07-11,N,320x341,3,0,300.0
"Thanks for the review, Shain!

#BehindTheQuack",0.25,Y,N,BehindTheQuack,,09:31:58,Saturday,2017-10-28,N,320x196,6,0,600.0
Take a whiff of freshness with Quick Quack's signature Duck Scents - turning every drive into a delight! ✨,0.41666666666666663,N,N,,,15:40:12,Thursday,2024-03-21,N,1080x1350,114,6,12000.0
Only 2 hrs left until close on our first day at our NEW Roseville Douglas Location! You can DUCK in and get a QUICK wash on your way home from work. FREEEEEE!👍 **Free washes at this location ONLY to celebrate our Grand Opening,0.20672348484848485,N,N,,,19:09:22,Wednesday,2016-04-06,N,1080x1080,10,2,1200.0
Quackals decided that his New Years resolution was going to be to workout. What is your New Years resolution?,0.13636363636363635,N,N,,,10:50:19,Friday,2017-01-06,N,900x900,22,2,2400.0
Quackals is hanging out with his friends this weekend. What are you doing this weekend?,0.0,N,N,,,09:52:27,Saturday,2016-10-08,N,1080x1080,8,0,800.0
Happy #MartinLutherKing day! ,1.0,Y,N,MartinLutherKing,,15:15:35,Monday,2016-01-18,N,888x752,3,0,300.0
"#QuickQuack is offering #Free washes for ALL Veterans on Wednesday, Nov 11in deepest gratitude for their service!  Stop by any Quick Quack location to redeem.",0.41666666666666663,Y,N,"QuickQuack, Free",,13:50:58,Monday,2015-11-09,N,1080x1080,4,0,400.0
"We're ready for Santa! How about you?

#DontDriveDirty #HappyHolidays",0.25,Y,N,"DontDriveDirty, HappyHolidays",,09:55:15,Wednesday,2017-12-20,N,1000x1000,21,0,2100.0
"Quackals is ready to give his friends their presents!
˙
Still need a last minute gift or stocking stuffer to give a loved one? We have a great in-store and online deal of 10% OFF our gift cards. Link to shop online is in our bio.
˙
Special offer ends 12/24. Code will be applied at check out.
˙
#DontDriveDirty #MerryChristmas #HappyHolidays",0.42142857142857143,Y,N,"DontDriveDirty, MerryChristmas, HappyHolidays",,14:30:29,Wednesday,2018-12-19,N,1080x935,30,0,3000.0
Happy Halloween! 🎃 Don't forget to stop by Count Quackula's Mobile Haunt before going trick-or-treating. Our locations are closing at 6 p.m. today so our team members can celebrate Halloween.,1.0,N,N,,,08:00:54,Sunday,2021-10-31,N,1080x1080,64,6,7000.0
It's that time of year again! Stop by through Halloween and donate to St. Jude Children's Research Hospital! 🎃,0.0,N,N,,,11:27:30,Saturday,2015-10-17,N,1080x1080,1,0,100.0
"August is Water Quality Month! We take water quality serious here at Quick Quack. All of the water that is used in our car washes is reclaimed and put through a filtration system before it is used again. 
#DoingOurPart #DontDriveDirty #QuickQuack #WaterQuality 
http://qoo.ly/rdy4e",0.0,Y,N,"DoingOurPart, DontDriveDirty, QuickQuack, WaterQuality",,08:05:09,Tuesday,2018-08-14,N,612x567,18,1,1900.0
"Thanks for the incredible review, Wyona!
#BehindTheQuack",0.6,Y,N,BehindTheQuack,,18:32:17,Saturday,2017-09-23,N,464x254,13,0,1300.0
"Thank you for being a loyal customer! We would love to hear from you. Please consider taking this 1-minute survey to let us know how we are doing. After you complete the survey you will be entered into a drawing to receive 1 year of FREE Car Washes! Thank you!

http://ow.ly/u8xv30b7PDe",0.41041666666666665,N,N,,,11:29:52,Monday,2017-04-24,N,665x831,21,3,2400.0
A peek into a few of our locations this week! #dontdrivedirty,-0.25,Y,N,dontdrivedirty,,12:22:19,Saturday,2015-08-08,N,1080x1080,6,0,600.0
"Summer is coming! We're extending our hours, so we can serve you more! 
#DontDriveDrity #Summer",0.625,Y,N,"DontDriveDrity, Summer",,11:33:25,Tuesday,2018-03-13,N,550x687,30,3,3300.0
"After over 20 years in Amarillo, TX, we opened a new location in late 2021. To kick off our Grand Opening, we held a Preview Fundraiser for the Mitchell Family. Jennifer Mitchell is raising her two granddaughters. Due to a health condition, she had to stop working, leaving her unable to pay for her medical bills and everyday expenses. With the help of the community, we raised and matched $4,000 to help Jennifer with her essential expenses. Thank you to United Way of Amarillo & Canyon for connecting us with the Mitchells, and to our community for supporting us.",-0.026515151515151516,N,N,,,08:00:40,Friday,2022-02-25,Y,1920x1080,90,1,9100.0
"We hope you had a relaxing weekend! Qucakals is resting today because he was working hard all weekend making appearances at local events. 
#DontDriveDirty",-0.14583333333333334,Y,N,DontDriveDirty,,09:00:22,Monday,2018-03-26,N,1080x1076,31,0,3100.0
Your #duckbath is waiting :) #quickquack #dontdrivedirty,0.5,Y,N,"duckbath, quickquack, dontdrivedirty",,19:16:48,Tuesday,2015-06-02,N,640x640,9,1,1000.0
"Quackals loves this deal!

January 21st is National Hugging Day, and we have a great ONLINE ONLY deal from Jan 20-26.

First Month FREE* Best Unlimited Membership! Link in the Bio.
˙
*$1.05 activation on card. NEW unlimited customers only.
˙
#DontDriveDirty #NationalHuggingDay",0.32329545454545455,Y,N,"DontDriveDirty, NationalHuggingDay",,18:29:00,Friday,2019-01-18,N,1080x1080,21,3,2400.0
Who else misses the sun? Our car wash experience will bring some light into your life. 🌈,0.4,N,N,,,07:02:41,Wednesday,2021-11-17,N,1440x1440,58,0,5800.0
Happy Chocolate Covered Raisin Day! Quackals is a big fan!,0.5,N,N,,,10:35:02,Friday,2017-03-24,N,988x988,9,0,900.0
"Share the love of a clean car! Free Car Wash (or Upgrade) with any Gift Card purchase, now until Valentine’s Day!",0.48611111111111116,N,N,,,20:22:19,Monday,2016-02-01,N,583x583,5,0,500.0
"Thanks for the fun review, Anthony!

Tell us how we are doing by leaving a review on Facebook, Yelp or Google!

#BehindTheQuack",0.334375,Y,N,BehindTheQuack,,08:25:54,Saturday,2017-08-26,N,441x288,15,0,1500.0
Triple Foam #quickquack #dontdrivedirty,0.0,Y,N,"quickquack, dontdrivedirty",,22:35:17,Saturday,2012-09-01,N,612x612,2,0,200.0
Our Colorado Spring location got this from a long time customer! This makes the job even more fun and reminds us that we really do have the awesomest customers!!! #quickquack #dontdrivedirty,0.28203125,Y,N,"quickquack, dontdrivedirty",,14:12:26,Sunday,2015-11-22,N,1080x1080,3,0,300.0
One lucky winner will win a $50 Quick Quack Car Wash Gift Card on Friday the 13th (1/13/17)! 1. Follow us 2. Tag 3 friends. #contest #contests #instacontest #tagtowin #contestday #followtowin #contestalert #dontdrivedirty,0.36666666666666664,Y,N,"contest, contests, instacontest, tagtowin, contestday, followtowin, contestalert, dontdrivedirty",,12:52:26,Friday,2017-01-06,N,776x776,115,118,23300.0
Do YOU have a #quickquack t-shirt!? Come by and get yours before they are all gone!,0.0,Y,N,quickquack,,12:01:53,Friday,2015-09-18,N,1080x1080,2,0,200.0
"Thanks for the great review, Ryan!

#BehindTheQuack",0.6,Y,N,BehindTheQuack,,18:34:15,Saturday,2017-09-09,N,420x220,11,0,1100.0
"Earlier this month, we had our second Grand Opening in Katy, TX!
Keep an eye out for future openings in your neighborhood. Great job Katy team!
˙
22743 Morton Ranch Rd.
Katy, TX 77449
˙
#DontDriveDirty #QuickQuackHOU #Katy #Texas",0.325,Y,N,"DontDriveDirty, QuickQuackHOU, Katy, Texas",,08:53:23,Saturday,2019-03-23,N,720x648,50,2,5200.0
"Win a YEAR of free car washes! All you have to do is submit our quick 4-minute survey and you'll automatically be entered for a chance to win. We'll choose one winner on Friday, November 15th! https://bit.ly/2oj3XWX",0.6583333333333333,N,N,,,09:10:03,Thursday,2019-10-10,N,1080x1079,67,17,8400.0
"Today is National Day of Encouragement!
˙
At Quick Quack, we encourage our team members to be the best they can be and we embrace our mission to Change Lives for the Better!
˙
Pictured is our North Highlands, CA. Store Leader, Stephanie with our
Northern California Regional Leader, Dan.
˙
#DontDriveDirty #Team #Teamwork #Fast #Clean #Loved #Everywhere #BehindtheQuack",0.5375,Y,N,"DontDriveDirty, Team, Teamwork, Fast, Clean, Loved, Everywhere, BehindtheQuack",,19:30:41,Wednesday,2018-09-12,N,1080x1150,32,1,3300.0
"Tip Tuesday: ""Be yourself; everyone else is already taken."" -Oscar Wilde 
#DontDriveDirty #TipTuesday #Quote",0.0,Y,N,"DontDriveDirty, TipTuesday, Quote",,13:23:41,Monday,2018-07-16,N,1080x1094,22,0,2200.0
Warmer weather makes for fabulous car washing days! #dontdrivedirty,0.5,Y,N,dontdrivedirty,,11:01:09,Sunday,2016-05-01,N,372x333,1,0,100.0
Do you know about our Come Back Quick Special Offer? #quickquack #specialoffer #deals,0.23015873015873015,Y,N,"quickquack, specialoffer, deals",,19:33:21,Tuesday,2013-12-03,N,640x640,5,0,500.0
